38971	74712	24125	66036	26504	28942	74264	88736	18818	71852	28310	56740	10736	16809	16566	48580	35561	62065	76942	47727	49432	11095	40514	32574	38323	61389	65317	67770	89472	93219	
23212	99084	32109	87797	46089	17533	18018	25871	46202	94439	77208	93484	19670	55999	15745	81836	96207	91263	46599	66217	15014	99522	81340	34517	93772	31858	99647	40381	28824	11467	
18374	95095	56793	48674	31243	20389	90557	71452	29463	85651	38835	78588	88652	28809	34278	13117	10992	97978	75050	31777	31142	35992	84876	49792	91502	91979	86551	10245	85996	98458	
72183	32752	24730	45407	75556	60001	30642	94839	87473	37565	18615	88039	35018	63586	77971	67541	65844	62853	62911	94432	69146	59502	12672	80986	10285	37592	17146	57739	49218	34538	
66765	21409	70447	20397	70138	49696	58658	32973	93163	59393	74932	64604	29912	96044	40436	67567	82550	45796	29441	91155	85508	75178	86360	29683	80882	27243	51986	37593	63658	93184	
19538	39929	60931	23102	56030	81819	74235	95992	63992	77539	96222	71396	52918	68315	20461	39841	17124	32349	97027	84176	49398	75286	35234	73907	29639	34656	33245	94543	11844	96728	
59854	18353	73740	76172	78886	20246	20813	90189	69245	99862	12853	65173	31231	45484	45396	70910	56569	25062	77274	87317	29376	36728	94715	32065	23149	99881	69877	33682	89300	63678	
48587	15330	88665	43112	36057	34543	44575	63948	76722	19780	36560	69154	67712	60851	88288	64188	21990	73056	61473	35461	16768	35206	29763	26179	66882	42174	18768	83749	13155	25717	
74595	19093	61572	44278	99260	38911	20474	99960	79996	51454	74221	67807	76978	24757	44653	70630	16347	29725	58503	89181	74161	87537	17014	65805	22483	65273	61350	43604	74482	82791	
58888	69512	77720	88296	25560	98483	47155	21515	23167	24183	88299	44553	66134	14101	83588	82598	26970	36570	25393	87459	67482	90889	32016	18283	23146	46427	18618	21550	40991	14007	
67663	19289	21641	20716	39536	98838	89181	92900	19110	30139	22227	76311	27060	15273	57505	84614	37835	21555	61180	52816	46650	45465	68590	86664	61452	67959	65627	96178	59955	57802	
91727	81882	50082	16067	26367	23835	55973	32654	90484	65231	15909	34984	30645	47112	80509	11437	10999	99540	64531	54958	89874	49438	23649	79632	39228	63435	24975	32321	76593	38028	
13319	13489	23324	32627	54183	79007	60367	87804	23336	40243	60785	28967	45769	97740	65116	96593	21837	35840	30634	54448	84686	14959	89821	34272	89600	28368	20837	90827	12966	65619	
85141	16529	35899	89844	22670	25203	34786	58842	51447	96296	33764	80135	31924	72066	21120	15504	43136	77040	36949	15546	99939	32282	60860	54784	82566	93056	95843	83172	23510	53012	
49261	11450	94814	97241	56700	41361	79693	72821	26025	36521	34974	60985	15781	21688	15104	80241	54018	14141	67794	37125	48437	78971	96615	82101	43412	99968	93390	96224	21999	75687	
45294	65422	24107	33435	36239	16223	96155	87377	93618	20129	72205	61183	18115	60067	93838	27630	53335	47529	95657	84140	34740	91152	28434	10656	30434	60912	42553	93552	53384	37631	
57799	48438	76468	93087	45712	88804	69242	85631	33249	86555	12616	86693	49661	45399	55962	52227	78761	41094	74435	57782	15268	34928	38112	51119	33723	18905	16876	23547	49846	53316	
59742	37601	71836	11110	73872	32691	19861	36718	72209	11055	60636	52075	97165	72894	42364	82899	84510	45153	57254	74606	58575	96359	72572	66099	85840	19680	86682	16711	70607	21358	
65528	53637	68026	58208	92773	31375	80494	58710	43843	74742	16717	59162	84190	64401	98558	83963	82962	25242	45977	61148	26803	30757	97299	43337	24239	35292	75675	32897	25758	40658	
86113	98970	64508	94200	99320	64991	88563	56545	84958	57685	23031	75930	18685	20561	25051	47318	20642	99046	42608	44374	51852	82129	93410	22214	63939	97383	88488	58096	48668	43313	
49620	65760	27093	90792	10114	52461	39476	51579	20062	83531	50655	96301	93164	26739	75772	18555	38860	52976	36528	11764	25662	61701	18415	92311	10887	94981	15692	31684	84788	42620	
34230	80905	52055	87508	79126	81320	13708	56670	68957	16824	78171	34001	31282	85477	43234	49529	60124	78968	98244	82787	89805	20813	47937	30563	24072	22408	49410	26001	27803	41771	
64235	60302	58398	77451	87834	90483	45609	92007	95050	23800	67748	50944	57119	54338	62895	33951	36054	50345	62165	36291	26199	70965	93363	58308	31657	59273	79973	27346	96479	39996	
31187	60807	87426	38225	50988	43468	89210	51983	98625	89867	96643	30485	59093	73675	42936	75116	50926	55573	71182	49018	81527	98316	14223	58745	15531	80994	60761	41578	74204	22241	
71297	68700	80530	44585	66762	72151	86469	65012	76132	94625	56991	54445	31173	86116	89770	22568	27387	82337	23298	89703	87944	62583	26436	29763	40613	38921	38271	36853	33693	58633	
90291	52790	73603	22102	20850	74473	78826	47045	44646	68087	87396	99313	13323	85869	54889	58551	33537	99106	24771	24995	68382	33783	89640	15112	30368	84614	63327	20299	18230	79303	
87539	28341	36569	82781	65677	24770	43840	70127	49967	48112	68179	86910	94302	58059	79796	13469	71609	10616	61046	55499	70231	62921	45301	66135	19265	75648	60384	14278	48015	36582	
60479	91127	49603	84553	80783	97558	89166	97192	24620	77978	71432	87253	37775	39450	88357	67993	44539	38120	92552	37407	53409	26648	22052	57940	40089	85886	34877	34996	67993	62416	
